Designator,Mid X,Mid Y,Layer,Rotation
C1,35.500mm,-18.000mm,Top,180.000000
C10,78.500mm,-32.000mm,Top,90.000000
C2,41.000mm,-18.000mm,Top,90.000000
C3,14.000mm,-33.500mm,Top,0.000000
C4,19.000mm,-26.000mm,Top,90.000000
C5,31.000mm,-32.000mm,Top,90.000000
C6,34.000mm,-32.000mm,Top,90.000000
C7,40.000mm,-32.000mm,Top,90.000000
C8,43.000mm,-26.500mm,Top,90.000000
C9,58.500mm,-32.000mm,Top,90.000000
D1,21.000mm,-18.000mm,Top,90.000000
D2,26.500mm,-18.000mm,Top,90.000000
D3,50.000mm,-20.500mm,Top,180.000000
D4,70.000mm,-20.500mm,Top,180.000000
D5,18.000mm,-80.000mm,Top,0.000000
D6,29.000mm,-80.000mm,Top,0.000000
D7,40.000mm,-80.000mm,Top,0.000000
D8,51.000mm,-80.000mm,Top,0.000000
D9,62.000mm,-80.000mm,Top,0.000000
F1,32.000mm,-26.500mm,Top,0.000000
F2,45.500mm,-33.000mm,Top,0.000000
J1,17.080mm,-7.000mm,Top,180.000000
J2,52.540mm,-7.000mm,Top,180.000000
J3,77.620mm,-7.000mm,Top,180.000000
J4,85.000mm,-54.000mm,Top,0.000000
JP1,62.500mm,-20.500mm,Top,0.000000
JP2,82.500mm,-20.500mm,Top,0.000000
L1,25.000mm,-32.000mm,Top,0.000000
Q1,10.000mm,-18.000mm,Top,180.000000
R1,16.000mm,-18.000mm,Top,90.000000
R2,7.500mm,-28.000mm,Top,90.000000
R3,58.500mm,-20.500mm,Top,0.000000
R4,78.500mm,-20.500mm,Top,0.000000
R5,18.000mm,-75.000mm,Top,0.000000
R6,29.000mm,-75.000mm,Top,0.000000
R7,40.000mm,-75.000mm,Top,0.000000
R8,51.000mm,-75.000mm,Top,0.000000
R9,62.000mm,-75.000mm,Top,0.000000
U1A,45.000mm,-42.300mm,Top,0.000000
U1B,45.000mm,-67.700mm,Top,0.000000
U2,14.000mm,-28.000mm,Top,270.000000
U3,52.000mm,-27.000mm,Top,0.000000
U4,72.000mm,-27.000mm,Top,0.000000
